added	deleted	path
6	0	client/scripts/boardOpenNoteSmoke/mockApi.ts
6	0	client/scripts/boardTextRangeSmoke/mockApi.ts
3	0	client/scripts/boardToolsSmoke/mockApi.ts
3	0	client/scripts/cFix1Smoke/mockApi.ts
6	0	client/scripts/pageFrameHealingSmoke/mockApi.ts
3	0	client/scripts/pageReadingSmoke/mockApi.ts
3	0	client/scripts/paperInkSmoke/inkMockApi.ts
41	2	client/src/pages/Boards/BoardPage.unboxing.test.tsx
36	0	client/src/pages/Notes/canvasEngine/blocks/MediaBlockProjection.module.css
79	0	client/src/pages/Notes/canvasEngine/blocks/MediaBlockProjection.test.tsx
49	0	client/src/pages/Notes/canvasEngine/blocks/MediaBlockProjection.tsx
26	1	client/src/pages/Notes/canvasEngine/blocks/TextBlockProjection.input.test.tsx
9	0	client/src/pages/Notes/canvasEngine/blocks/TextBlockProjection.tsx
2	0	client/src/pages/Notes/canvasEngine/exportPreviewService.ts
4	1	client/src/pages/Notes/canvasEngine/hooks/useBlockMeasurement.ts
46	0	client/src/pages/Notes/canvasEngine/hooks/useNoteCanvasDataAdapter.test.tsx
49	2	client/src/pages/Notes/canvasEngine/hooks/useNoteCanvasDataAdapter.ts
19	2	client/src/pages/Notes/canvasEngine/hooks/usePageFrameWalls.test.tsx
31	0	client/src/pages/Notes/canvasEngine/layers/BlockEditorLayer.test.tsx
16	4	client/src/pages/Notes/canvasEngine/layers/BlockEditorLayer.tsx
31	0	client/src/pages/Notes/canvasEngine/layers/ExportPreviewLayer.media.test.tsx
17	2	client/src/pages/Notes/canvasEngine/layers/ExportPreviewLayer.tsx
19	0	client/src/pages/Notes/canvasEngine/layers/NotePrintLayer.test.tsx
1	0	client/src/pages/Notes/canvasEngine/layers/NoteReadOnlyPageContent.tsx
5	0	client/src/pages/Notes/canvasEngine/layers/NoteRuntimeDocumentLayer.test.tsx
44	1	client/src/pages/Notes/canvasEngine/layers/NoteWritingSurfaceLayer.tsx
5	0	client/src/pages/Notes/canvasEngine/layers/pageFrameAlignment.test.tsx
8	0	client/src/pages/Notes/canvasEngine/measurementService.ts
49	0	client/src/pages/Notes/canvasEngine/mediaBlockLayout.test.ts
70	0	client/src/pages/Notes/canvasEngine/mediaBlockPasteService.test.ts
89	0	client/src/pages/Notes/canvasEngine/mediaBlockPasteService.ts
16	0	client/src/pages/Notes/canvasEngine/mediaBlockService.ts
9	4	client/src/pages/Notes/canvasEngine/placementService.ts
21	0	client/test/fixtures/canvasAssetFixture.test.ts
11	0	client/test/fixtures/canvasAssetFixture.ts
1	1	docs/agent-ops/INDEX.md
49	1	docs/agent-ops/handoffs/2026-09-12-v13-6-media-block-paste-order.md
1	1	docs/generated/object-inventory.md
287	0	server/src/__tests__/v13MediaBlocks.test.ts
15	1	server/src/lib/noteBlockTemplates.ts
9	5	server/src/routes/noteBlocks.ts
2	0	server/src/routes/notes.ts
52	1	server/src/services/canvasAssets.ts
2	0	server/src/services/canvasObjects.ts
36	0	server/src/services/mediaBlocks.ts
33	1	server/src/services/noteBlockContent.ts
12	0	server/src/services/noteBlockLifecycle.ts
16	0	server/src/validators/index.ts
22	1	shared/types/index.ts
