added	removed	path
87	0	docs/agent-ops/handoffs/2026-09-13-v13-6-test-gate-repair-order.md
4	0	docs/audits/2026-09-13-testgate-builder/README.md
19	0	docs/audits/2026-09-13-testgate-builder/round2/before/docs/agent-ops/current-state/INDEX.md
16	0	docs/audits/2026-09-13-testgate-builder/round2/before/docs/agent-ops/decisions/INDEX.md
132	0	docs/audits/2026-09-13-testgate-builder/round2/before/docs/agent-ops/handoffs/2026-09-13-v13-6-test-gate-repair-order.md
372	0	docs/audits/2026-09-13-testgate-builder/round2/before/docs/agent-ops/INDEX.md
45	0	docs/audits/2026-09-13-testgate-builder/round2/before/docs/audits/2026-09-13-testgate-builder/README.md
181	0	docs/audits/2026-09-13-testgate-builder/round2/before/docs/brainstorm/INDEX.md
16	0	docs/audits/2026-09-13-testgate-builder/round2/before/docs/continuity/INDEX.md
29	0	docs/audits/2026-09-13-testgate-builder/round2/before/docs/contracts/INDEX.md
268	0	docs/audits/2026-09-13-testgate-builder/round2/before/docs/generated/object-inventory.md
25	0	docs/audits/2026-09-13-testgate-builder/round2/before/docs/INDEX.md
24	0	docs/audits/2026-09-13-testgate-builder/round2/before/docs/internal/INDEX.md
17	0	docs/audits/2026-09-13-testgate-builder/round2/before/docs/workflow/INDEX.md
47	0	docs/audits/2026-09-13-testgate-builder/round2/before/package.json
75	0	docs/audits/2026-09-13-testgate-builder/round2/before/server/package.json
83	0	docs/audits/2026-09-13-testgate-builder/round2/before/server/scripts/check-test-wiring.mjs
118	0	docs/audits/2026-09-13-testgate-builder/round2/before/server/src/__tests__/v13AtomicTextSaveMigration.test.ts
226	0	docs/audits/2026-09-13-testgate-builder/round2/before/server/src/__tests__/v13EventsLedger.test.ts
136	0	docs/audits/2026-09-13-testgate-builder/round2/before/server/src/__tests__/v13ProjectDeletionReferences.test.ts
52	0	docs/audits/2026-09-13-testgate-builder/round2/check-wiring-controls.mjs
7	0	docs/audits/2026-09-13-testgate-builder/round2/concurrent-document-change.json
12	0	docs/audits/2026-09-13-testgate-builder/round2/final-docs-check.log
30	0	docs/audits/2026-09-13-testgate-builder/round2/integrity.json
91	0	docs/audits/2026-09-13-testgate-builder/round2/numstat.tsv
67	0	docs/audits/2026-09-13-testgate-builder/round2/README.md
7	0	docs/audits/2026-09-13-testgate-builder/round2/repaired-results-attempt1.json
7	0	docs/audits/2026-09-13-testgate-builder/round2/repaired-results-attempt2.json
7	0	docs/audits/2026-09-13-testgate-builder/round2/repaired-results.json
259	0	docs/audits/2026-09-13-testgate-builder/round2/repaired-suites-attempt1.log
627	0	docs/audits/2026-09-13-testgate-builder/round2/repaired-suites-attempt2.log
432	0	docs/audits/2026-09-13-testgate-builder/round2/repaired-suites-pre-review.log
432	0	docs/audits/2026-09-13-testgate-builder/round2/repaired-suites.log
88	0	docs/audits/2026-09-13-testgate-builder/round2/run-validation.mjs
158	0	docs/audits/2026-09-13-testgate-builder/round2/server-inventory.json
12	0	docs/audits/2026-09-13-testgate-builder/round2/server-results.json
20	0	docs/audits/2026-09-13-testgate-builder/round2/server-supplemental-files.json
7250	0	docs/audits/2026-09-13-testgate-builder/round2/server-supplemental.log
28016	0	docs/audits/2026-09-13-testgate-builder/round2/server-test-v2.log
1005	0	docs/audits/2026-09-13-testgate-builder/round2/source-hashes.before.json
58	0	docs/audits/2026-09-13-testgate-builder/round2/summarize-changes.mjs
3	0	docs/audits/2026-09-13-testgate-builder/round2/temporary-cleanup.log
31	0	docs/audits/2026-09-13-testgate-builder/round2/test-v2-scripts.json
1	0	docs/audits/2026-09-13-testgate-builder/round2/typecheck-client.log
12	0	docs/audits/2026-09-13-testgate-builder/round2/typecheck-results.json
1	0	docs/audits/2026-09-13-testgate-builder/round2/typecheck-server.log
222	0	docs/audits/2026-09-13-testgate-builder/round2/validation-summary.json
85	0	docs/audits/2026-09-13-testgate-builder/round2/verify-build-client.log
85	0	docs/audits/2026-09-13-testgate-builder/round2/verify-build.log
182	0	docs/audits/2026-09-13-testgate-builder/round2/verify-check-canvas-runtime-boundary.log
10	0	docs/audits/2026-09-13-testgate-builder/round2/verify-check-group-gallery-shell.log
10	0	docs/audits/2026-09-13-testgate-builder/round2/verify-check-groups-rail-shell.log
6	0	docs/audits/2026-09-13-testgate-builder/round2/verify-check-server-shared-runtime-import.log
10	0	docs/audits/2026-09-13-testgate-builder/round2/verify-check-single-editor-shell.log
11	0	docs/audits/2026-09-13-testgate-builder/round2/verify-check-source-experience.log
7	0	docs/audits/2026-09-13-testgate-builder/round2/verify-check-tech-debt-table.log
7	0	docs/audits/2026-09-13-testgate-builder/round2/verify-check-test-wiring.log
76	0	docs/audits/2026-09-13-testgate-builder/round2/verify-check-tool-face-manifest.log
6	0	docs/audits/2026-09-13-testgate-builder/round2/verify-check-tool-face-parity.log
10	0	docs/audits/2026-09-13-testgate-builder/round2/verify-check-v2-bn11-legacy-shutdown.log
10	0	docs/audits/2026-09-13-testgate-builder/round2/verify-check-v2-bn11-relation-freshness.log
11	0	docs/audits/2026-09-13-testgate-builder/round2/verify-docs-check.log
107	0	docs/audits/2026-09-13-testgate-builder/round2/verify-results.json
8	0	docs/audits/2026-09-13-testgate-builder/round2/verify-scripts.json
74	0	docs/audits/2026-09-13-testgate-builder/round2/verify-smoke-canvas-engine-model-contract.log
19	0	docs/audits/2026-09-13-testgate-builder/round2/verify-smoke-canvas-engine-performance.log
80	0	docs/audits/2026-09-13-testgate-builder/round2/verify-test-tool-face-manifest.log
85	0	docs/audits/2026-09-13-testgate-builder/round2/verify-test-tool-face-parity.log
49	0	docs/audits/2026-09-13-testgate-builder/round2/verify-test-tool-face-registry.log
334	0	docs/audits/2026-09-13-testgate-builder/round2/verify-test-unit.log
3	0	docs/audits/2026-09-13-testgate-builder/round2/wiring-baseline.log
3	0	docs/audits/2026-09-13-testgate-builder/round2/wiring-cd-wrapper.log
86	0	docs/audits/2026-09-13-testgate-builder/round2/wiring-controls.json
3	0	docs/audits/2026-09-13-testgate-builder/round2/wiring-curated-wrapper.log
5	0	docs/audits/2026-09-13-testgate-builder/round2/wiring-echo-cd.log
5	0	docs/audits/2026-09-13-testgate-builder/round2/wiring-echo-runner.log
5	0	docs/audits/2026-09-13-testgate-builder/round2/wiring-echo.log
5	0	docs/audits/2026-09-13-testgate-builder/round2/wiring-import-option-value.log
3	0	docs/audits/2026-09-13-testgate-builder/round2/wiring-node-test.log
5	0	docs/audits/2026-09-13-testgate-builder/round2/wiring-ordinary-node-program.log
5	0	docs/audits/2026-09-13-testgate-builder/round2/wiring-reporter-option-value.log
3	0	docs/audits/2026-09-13-testgate-builder/round2/wiring-restored.log
5	0	docs/audits/2026-09-13-testgate-builder/round2/wiring-unwired.log
3	2	docs/generated/object-inventory.md
2	1	package.json
1	1	server/package.json
107	11	server/scripts/check-test-wiring.mjs
104	22	server/src/__tests__/v13AtomicTextSaveMigration.test.ts
7	3	server/src/__tests__/v13EventsLedger.test.ts
13	6	server/src/__tests__/v13ProjectDeletionReferences.test.ts
