added	removed	path
1	1	server/package.json
2	11	server/src/agent/tools/executor.ts
0	11	server/src/agent/tools/definitions.ts
16	1	server/src/db/schema.sql
68	0	server/src/db/migrations/075_v14_delete_authorizations.ts
1	0	server/src/db/recordEvent.ts
2	8	server/src/routes/timeBlocks.ts
144	0	server/src/services/agentAuthorizations.ts
26	0	server/src/services/timeBlocks.ts
54	0	server/src/services/toolFaceReceiptRevert.ts
36	1	server/src/toolFace/registry.ts
266	0	server/src/__tests__/v14DeleteCeremony.test.ts
5	3	server/src/__tests__/v13EventsLedger.test.ts
162	0	docs/generated/tool-face-manifest.json
100	99	docs/generated/object-inventory.md
3	2	docs/agent-ops/INDEX.md
52	1	docs/agent-ops/handoffs/2026-09-14-v14-1-a2b-delete-ceremony-order.md
88	0	docs/audits/2026-09-14-a2b-delete-ceremony-builder/report.md
877	0	docs/audits/2026-09-14-a2b-delete-ceremony-builder/validation.json
125	0	docs/audits/2026-09-14-a2b-delete-ceremony-builder/changes.json
22	0	docs/audits/2026-09-14-a2b-delete-ceremony-builder/numstat.tsv
